Bin,Start,End,Range,Value,Percentage,"Accumulated Value","Accumulated Percentage"
0,0,0.0458866,"[0, 0.0458866)",5929,0.563379,5929,0.563379
1,0.0458866,0.0917733,"[0.0458866, 0.0917733)",2073,0.196978,8002,0.760357
2,0.0917733,0.13766,"[0.0917733, 0.13766)",1396,0.132649,9398,0.893006
3,0.13766,0.183547,"[0.13766, 0.183547)",479,0.045515,9877,0.938521
4,0.183547,0.229433,"[0.183547, 0.229433)",300,0.0285063,10177,0.967028
5,0.229433,0.27532,"[0.229433, 0.27532)",126,0.0119726,10303,0.979
6,0.27532,0.321206,"[0.27532, 0.321206)",50,0.00475105,10353,0.983751
7,0.321206,0.367093,"[0.321206, 0.367093)",18,0.00171038,10371,0.985462
8,0.367093,0.41298,"[0.367093, 0.41298)",17,0.00161536,10388,0.987077
9,0.41298,0.458866,"[0.41298, 0.458866)",6,0.000570125,10394,0.987647
10,0.458866,0.504753,"[0.458866, 0.504753)",28,0.00266059,10422,0.990308
11,0.504753,0.55064,"[0.504753, 0.55064)",15,0.00142531,10437,0.991733
12,0.55064,0.596526,"[0.55064, 0.596526)",70,0.00665146,10507,0.998385
13,0.596526,0.642413,"[0.596526, 0.642413)",9,0.000855188,10516,0.99924
14,0.642413,0.6883,"[0.642413, 0.6883)",2,0.000190042,10518,0.99943
15,0.6883,0.734186,"[0.6883, 0.734186)",1,9.50209e-05,10519,0.999525
16,0.734186,0.780073,"[0.734186, 0.780073)",1,9.50209e-05,10520,0.99962
17,0.780073,0.82596,"[0.780073, 0.82596)",0,0,10520,0.99962
18,0.82596,0.871846,"[0.82596, 0.871846)",0,0,10520,0.99962
19,0.871846,0.917733,"[0.871846, 0.917733)",0,0,10520,0.99962
20,0.917733,0.963619,"[0.917733, 0.963619)",1,9.50209e-05,10521,0.999715
21,0.963619,1.00951,"[0.963619, 1.00951)",0,0,10521,0.999715
22,1.00951,1.05539,"[1.00951, 1.05539)",0,0,10521,0.999715
23,1.05539,1.10128,"[1.05539, 1.10128)",1,9.50209e-05,10522,0.99981
24,1.10128,1.14717,"[1.10128, 1.14717)",2,0.000190042,10524,1
